Country,Sector,Gas,year,cons
Austria,Agriculture,All GHG,2019,7.21
Austria,Agriculture,CH4,2019,4.64
Austria,Agriculture,N2O,2019,2.57
Austria,Building,All GHG,2019,8.41
Austria,Building,CO2,2019,7.73
Austria,Building,CH4,2019,0.58
Austria,Building,N2O,2019,0.1
Austria,Bunker Fuels,All GHG,2019,2.91
Austria,Bunker Fuels,CO2,2019,2.88
Austria,Bunker Fuels,CH4,2019,0.0
Austria,Bunker Fuels,N2O,2019,0.02
Austria,Electricity/Heat,All GHG,2019,19.16
Austria,Electricity/Heat,CO2,2019,18.97
Austria,Electricity/Heat,CH4,2019,0.07
Austria,Electricity/Heat,N2O,2019,0.12
Austria,Energy,All GHG,2019,64.93
Austria,Energy,CO2,2019,63.0
Austria,Energy,CH4,2019,1.09
Austria,Energy,N2O,2019,0.85
Austria,Fugitive Emissions,All GHG,2019,0.25
Austria,Fugitive Emissions,CH4,2019,0.25
Austria,Fugitive Emissions,N2O,2019,0.0
Austria,Industrial Processes,All GHG,2019,3.37
Austria,Industrial Processes,CO2,2019,1.77
Austria,Industrial Processes,CH4,2019,0.05
Austria,Industrial Processes,N2O,2019,0.17
Austria,Industrial Processes,F-Gas,2019,1.38
Austria,Land-Use Change and Forestry,All GHG,2019,-7.12
Austria,Land-Use Change and Forestry,CO2,2019,-7.12
Austria,Land-Use Change and Forestry,CH4,2019,0.0
Austria,Land-Use Change and Forestry,N2O,2019,0.0
Austria,Manufacturing/Construction,All GHG,2019,10.65
Austria,Manufacturing/Construction,CO2,2019,10.52
Austria,Manufacturing/Construction,CH4,2019,0.05
Austria,Manufacturing/Construction,N2O,2019,0.08
Austria,Other Fuel Combustion,All GHG,2019,0.8
Austria,Other Fuel Combustion,CO2,2019,0.74
Austria,Other Fuel Combustion,CH4,2019,0.05
Austria,Other Fuel Combustion,N2O,2019,0.01
Austria,Total excluding LUCF,All GHG,2019,76.92
Austria,Total excluding LUCF,CO2,2019,64.77
Austria,Total excluding LUCF,CH4,2019,6.92
Austria,Total excluding LUCF,N2O,2019,3.85
Austria,Total excluding LUCF,F-Gas,2019,1.38
Austria,Total including LUCF,All GHG,2019,69.8
Austria,Total including LUCF,CO2,2019,57.64
Austria,Total including LUCF,CH4,2019,6.92
Austria,Total including LUCF,N2O,2019,3.85
Austria,Total including LUCF,F-Gas,2019,1.38
Austria,Transportation,All GHG,2019,25.67
Austria,Transportation,CO2,2019,25.04
Austria,Transportation,CH4,2019,0.09
Austria,Transportation,N2O,2019,0.54
Austria,Waste,All GHG,2019,1.41
Austria,Waste,CH4,2019,1.14
Austria,Waste,N2O,2019,0.27
Austria,Agriculture,All GHG,2018,7.26
Austria,Agriculture,CH4,2018,4.71
Austria,Agriculture,N2O,2018,2.55
Austria,Building,All GHG,2018,8.15
Austria,Building,CO2,2018,7.49
Austria,Building,CH4,2018,0.57
Austria,Building,N2O,2018,0.1
Austria,Bunker Fuels,All GHG,2018,2.54
Austria,Bunker Fuels,CO2,2018,2.51
Austria,Bunker Fuels,CH4,2018,0.0
Austria,Bunker Fuels,N2O,2018,0.02
Austria,Electricity/Heat,All GHG,2018,17.97
Austria,Electricity/Heat,CO2,2018,17.78
Austria,Electricity/Heat,CH4,2018,0.07
Austria,Electricity/Heat,N2O,2018,0.12
Austria,Energy,All GHG,2018,63.17
Austria,Energy,CO2,2018,61.23
Austria,Energy,CH4,2018,1.09
Austria,Energy,N2O,2018,0.84
Austria,Fugitive Emissions,All GHG,2018,0.25
Austria,Fugitive Emissions,CH4,2018,0.25
Austria,Fugitive Emissions,N2O,2018,0.0
Austria,Industrial Processes,All GHG,2018,3.56
Austria,Industrial Processes,CO2,2018,1.83
Austria,Industrial Processes,CH4,2018,0.05
Austria,Industrial Processes,N2O,2018,0.17
Austria,Industrial Processes,F-Gas,2018,1.51
Austria,Land-Use Change and Forestry,All GHG,2018,-7.12
Austria,Land-Use Change and Forestry,CO2,2018,-7.12
Austria,Land-Use Change and Forestry,CH4,2018,0.0
Austria,Land-Use Change and Forestry,N2O,2018,0.0
Austria,Manufacturing/Construction,All GHG,2018,10.61
Austria,Manufacturing/Construction,CO2,2018,10.47
Austria,Manufacturing/Construction,CH4,2018,0.05
Austria,Manufacturing/Construction,N2O,2018,0.08
Austria,Other Fuel Combustion,All GHG,2018,0.8
Austria,Other Fuel Combustion,CO2,2018,0.74
Austria,Other Fuel Combustion,CH4,2018,0.05
Austria,Other Fuel Combustion,N2O,2018,0.01
Austria,Total excluding LUCF,All GHG,2018,75.44
Austria,Total excluding LUCF,CO2,2018,63.06
Austria,Total excluding LUCF,CH4,2018,7.04
