,country,sector,gas,year,cons
0,Austria,Agriculture,All GHG,2019,7.21
1,Austria,Agriculture,CH4,2019,4.64
2,Austria,Agriculture,N2O,2019,2.57
3,Austria,Building,All GHG,2019,8.41
4,Austria,Building,CO2,2019,7.73
5,Austria,Building,CH4,2019,0.58
6,Austria,Building,N2O,2019,0.1
7,Austria,Bunker Fuels,All GHG,2019,2.91
8,Austria,Bunker Fuels,CO2,2019,2.88
9,Austria,Bunker Fuels,CH4,2019,0.0
10,Austria,Bunker Fuels,N2O,2019,0.02
11,Austria,Electricity/Heat,All GHG,2019,19.16
12,Austria,Electricity/Heat,CO2,2019,18.97
13,Austria,Electricity/Heat,CH4,2019,0.07
14,Austria,Electricity/Heat,N2O,2019,0.12
15,Austria,Energy,All GHG,2019,64.93
16,Austria,Energy,CO2,2019,63.0
17,Austria,Energy,CH4,2019,1.09
18,Austria,Energy,N2O,2019,0.85
19,Austria,Fugitive Emissions,All GHG,2019,0.25
20,Austria,Fugitive Emissions,CH4,2019,0.25
21,Austria,Fugitive Emissions,N2O,2019,0.0
22,Austria,Industrial Processes,All GHG,2019,3.37
23,Austria,Industrial Processes,CO2,2019,1.77
24,Austria,Industrial Processes,CH4,2019,0.05
25,Austria,Industrial Processes,N2O,2019,0.17
26,Austria,Industrial Processes,F-Gas,2019,1.38
27,Austria,Land-Use Change and Forestry,All GHG,2019,-7.12
28,Austria,Land-Use Change and Forestry,CO2,2019,-7.12
29,Austria,Land-Use Change and Forestry,CH4,2019,0.0
30,Austria,Land-Use Change and Forestry,N2O,2019,0.0
31,Austria,Manufacturing/Construction,All GHG,2019,10.65
32,Austria,Manufacturing/Construction,CO2,2019,10.52
33,Austria,Manufacturing/Construction,CH4,2019,0.05
34,Austria,Manufacturing/Construction,N2O,2019,0.08
35,Austria,Other Fuel Combustion,All GHG,2019,0.8
36,Austria,Other Fuel Combustion,CO2,2019,0.74
37,Austria,Other Fuel Combustion,CH4,2019,0.05
38,Austria,Other Fuel Combustion,N2O,2019,0.01
39,Austria,Total excluding LUCF,All GHG,2019,76.92
40,Austria,Total excluding LUCF,CO2,2019,64.77
41,Austria,Total excluding LUCF,CH4,2019,6.92
42,Austria,Total excluding LUCF,N2O,2019,3.85
43,Austria,Total excluding LUCF,F-Gas,2019,1.38
