year;tot_vehicles;tot_diesel_vehicles;tot_vehic_km;tot_diesel_vehic_km
1990;33227.84;6602.57;420.1;149.65
1991;33739.11;7359.41;433.0;165.21
1992;33800.0;8140.38;445.51;179.85
1993;33986.06;9092.45;454.03;194.16
1994;34664.53;9768.1;460.06;207.6
1995;34250.14;10538.5;464.59;223.9
1996;34456.97;11159.82;463.54;233.05
1997;34843.2;12056.58;475.93;246.95
1998;35761.27;12825.93;487.91;259.04
1999;36549.98;13484.12;503.74;272.2
2000;37609.06;14407.72;500.27;278.12
2001;38693.89;15542.89;522.58;300.98
2002;39785.3;16936.23;534.19;318.19
2003;40293.89;18077.92;537.98;331.87
2004;41050.02;19130.46;535.81;339.41
2005;41681.29;20328.53;535.39;348.23
2006;43072.34;21570.89;538.5;362.37
2007;44236.3;22744.91;540.94;375.21
2008;44434.17;23942.93;534.85;382.08
2009;45563.17;24961.43;546.46;396.79
2010;45934.33;26017.48;549.19;408.36
2011;47414.25;27346.07;557.56;422.23
2012;47603.0;28333.08;554.96;428.19
2013;48433.86;29384.71;555.54;430.9
2014;48933.87;30117.93;566.66;439.8
2015;49545.13;30604.39;578.71;447.36
2016;50182.04;31017.74;583.42;446.46
2017;50852.44;31012.28;591.67;445.6
2018;50916.89;30374.29;586.25;431.21
2019;51649.2;30042.12;596.74;425.91
